date,TF,HF,OT
2022/9/10 19:50,30.30938596,70.65417544,7.87441099
2022/9/10 20:00,0,0,0
2022/9/10 20:10,0,0,0
2022/9/10 20:20,0,0,0
2022/9/10 20:30,0,0,0
2022/9/10 20:40,0,0,0
2022/9/10 20:50,0,0,0
2022/9/10 21:00,0,0,0
2022/9/10 21:10,0,0,0
2022/9/10 21:20,0,0,0
2022/9/10 21:30,0,0,0
2022/9/10 21:40,0,0,0
2022/9/10 21:50,0,0,0
2022/9/10 22:00,0,0,0
2022/9/10 22:10,0,0,0
2022/9/10 22:20,0,0,0
2022/9/10 22:30,0,0,0
2022/9/10 22:40,0,0,0
2022/9/10 22:50,0,0,0
2022/9/10 23:00,0,0,0
2022/9/10 23:10,0,0,0
2022/9/10 23:20,0,0,0
2022/9/10 23:30,0,0,0
2022/9/10 23:40,0,0,0
2022/9/10 23:50,0,0,0
2022/9/11 0:00,0,0,0
2022/9/11 0:10,0,0,0
2022/9/11 0:20,0,0,0
2022/9/11 0:30,0,0,0
2022/9/11 0:40,0,0,0
2022/9/11 0:50,0,0,0
2022/9/11 1:00,0,0,0
2022/9/11 1:10,0,0,0
2022/9/11 1:20,0,0,0
2022/9/11 1:30,0,0,0
2022/9/11 1:40,0,0,0
2022/9/11 1:50,0,0,0
2022/9/11 2:00,0,0,0
2022/9/11 2:10,0,0,0
2022/9/11 2:20,0,0,0
2022/9/11 2:30,0,0,0
2022/9/11 2:40,0,0,0
2022/9/11 2:50,0,0,0
2022/9/11 3:00,0,0,0
2022/9/11 3:10,0,0,0
2022/9/11 3:20,0,0,0
2022/9/11 3:30,0,0,0
2022/9/11 3:40,0,0,0
2022/9/11 3:50,0,0,0
2022/9/11 4:00,0,0,0
2022/9/11 4:10,0,0,0
2022/9/11 4:20,0,0,0
2022/9/11 4:30,0,0,0
2022/9/11 4:40,0,0,0
2022/9/11 4:50,0,0,0
2022/9/11 5:00,0,0,0
2022/9/11 5:10,0,0,0
2022/9/11 5:20,0,0,0
2022/9/11 5:30,0,0,0
2022/9/11 5:40,0,0,0
2022/9/11 5:50,0,0,0
2022/9/11 6:00,0,0,0
2022/9/11 6:10,0,0,0
2022/9/11 6:20,0,0,0
2022/9/11 6:30,0,0,0
2022/9/11 6:40,0,0,0
2022/9/11 6:50,0,0,0
2022/9/11 7:00,0,0,0
2022/9/11 7:10,0,0,0
2022/9/11 7:20,0,0,0
2022/9/11 7:30,0,0,0
2022/9/11 7:40,0,0,0
2022/9/11 7:50,0,0,0
2022/9/11 8:00,29.79116667,76.16918333,7.761090208
2022/9/11 8:10,29.7884,76.57615,7.868779828
2022/9/11 8:20,29.89843333,75.84771667,7.985393167
2022/9/11 8:30,29.97284167,75.42946667,7.171260003
2022/9/11 8:40,29.9554,75.37468333,7.876790808
2022/9/11 8:50,29.99425833,75.29216667,7.94048059
2022/9/11 9:00,30.26075,74.83268333,8.272684606
2022/9/11 9:10,30.49300833,73.77931667,7.254662534
2022/9/11 9:20,30.63899167,73.71306667,7.976409974
2022/9/11 9:30,30.686325,73.54403333,8.445651185
2022/9/11 9:40,30.8591,72.77033333,7.681900392
2022/9/11 9:50,30.75336667,72.85928333,8.008737046
2022/9/11 10:00,30.75360833,72.52573333,8.132527791
2022/9/11 10:10,30.99556667,71.54518333,8.313693188
2022/9/11 10:20,31.2262,70.67166667,8.279876145
2022/9/11 10:30,31.42594167,70.7336,7.452957213
2022/9/11 10:40,31.77643333,69.06838333,8.329365784
2022/9/11 10:50,31.98995,68.0354,8.655538495
2022/9/11 11:00,32.12464167,67.1408,7.956899283
2022/9/11 11:10,32.14464167,66.54603333,7.6933967
2022/9/11 11:20,31.96388333,64.6338,7.847762359
2022/9/11 11:30,32.37039167,63.39713333,8.34369054
2022/9/11 11:40,32.30115,60.21805,6.713451055
2022/9/11 11:50,32.48868333,61.81948333,7.684685975
